n,business,segment,city,contact,email,channel,subject,file,website,source_url,status
37,Littleton Youth Lacrosse,teams-orgs,Littleton,Mark Parkinson,littletonlacrosseclub@gmail.com,email,Medals and fundraiser ideas for LYL,037-littleton-youth-lacrosse.html,https://littletonlax.org/,https://www.littletonlax.org/contact-us,ready
38,Colorado United Soccer Club,teams-orgs,Littleton,,recreational@coloradounitedsoccer.com,email,Season-end medals for your rec divisions,038-colorado-united-soccer-club.html,https://www.coloradounitedsoccer.com/,https://www.coloradounitedsoccer.com/,ready
39,Denver Gaels GAA Club,teams-orgs,Denver (south metro),Peter Salazar,DenverGaelsChairperson@gmail.com,email,Pub league medals for the Gaels,039-denver-gaels-gaa-club.html,https://denvergaels.com/,https://denvergaels.com/contact/,ready
40,Lone Tree Symphony Orchestra,teams-orgs,Lone Tree,,,contact form,Sponsor plaques for your concert season,040-lone-tree-symphony-orchestra.html,https://www.lonetreesymphony.org/,https://www.lonetreesymphony.org/contact-us,ready
41,COLUXE Realty,offices,Castle Rock,Tiffany Cole,Tiffany@ColuxeRealty.com,email,Closing gifts for COLUXE closings,041-coluxe-realty.html,https://www.coluxerealty.com/,https://www.coluxerealty.com/,ready
42,The Abell To Sell Team,offices,Lone Tree,Kristen Abell,ateam@abelltosell.com,email,Closing gift boards for Lone Tree closings,042-the-abell-to-sell-team.html,https://abelltosell.com/,https://abelltosell.com/lone-tree-colorado-real-estate/,ready
43,West + Main Homes (Littleton),offices,Littleton,,,contact form,Closing gifts from a Centennial laser shop,043-west-main-homes-littleton.html,https://www.westandmainhomes.com/,https://www.westandmainhomes.com/contact,ready
44,"CNL Law Firm, PLLC",offices,Centennial,,consult@cnllaw.com,email,Stainless business cards for CNL Law,044-cnl-law-firm-pllc.html,https://cnllaw.com/,https://cnllaw.com/centennial-family-law-attorney/,ready
45,"Miller & Steiert, P.C.",offices,Littleton,,,contact form,Engraved nameplates for a Littleton Blvd firm,045-miller-steiert-p-c.html,https://www.m-s-lawyers.com/,https://www.m-s-lawyers.com/,ready
46,Mountain High Insurance,offices,Parker,,office@mountainhighinsurance.com,email,"Branded pens for Mountain High, 10 for $20",046-mountain-high-insurance.html,https://mountainhighinsurance.com/,https://mountainhighinsurance.com/,ready
47,McKean Insurance Agency,offices,Parker,Ian McKean,ian@mckeanins.com,email,Metal cards for McKean Insurance,047-mckean-insurance-agency.html,https://www.mckeanins.com/,https://www.mckeanins.com/about/,ready
48,Cockriel Insurance Inc,offices,Englewood,Charlie Cockriel,contact@cockrielinsurance.com,email,"Client thank-you gifts, engraved in Centennial",048-cockriel-insurance-inc.html,https://www.cockrielinsurance.com/,https://www.cockrielinsurance.com/,ready
49,"Integra Financial, Inc.",offices,Greenwood Village,Willis Ashby,info@integrafinancial.com,email,Slate coasters for the conference table,049-integra-financial-inc.html,https://www.integrafinancial.ws/,https://www.integrafinancial.ws/,ready
50,Dodds Wealth,offices,Greenwood Village,Andrew Dodds,info@doddswealth.com,email,Engraved client gifts near DTC Parkway,050-dodds-wealth.html,https://www.doddswealth.com/,https://www.doddswealth.com/locations/denver,ready
51,"Duncan & Company, LLC",offices,Parker,,info@duncancocpa.com,email,Metal business cards for Mainstreet,051-duncan-company-llc.html,https://www.duncancocpa.com/,https://www.duncancocpa.com/,ready
52,Peak Accounting Service,offices,Parker,,service@peakas.com,email,Office pens and nameplates for Peak,052-peak-accounting-service.html,https://www.peakas.com/,https://www.peakas.com/,ready
53,Jody L Rogers CPA LLC,offices,Highlands Ranch,Jody Rogers,jody@jrogerscpa.com,email,Client gifts from another one-person shop,053-jody-l-rogers-cpa-llc.html,https://www.jrogerscpa.com/,https://www.jrogerscpa.com/contact.php,ready
54,Cherry Knolls Veterinary Clinic,pet-medical,Centennial,Dr. Iqbal Singh,welovepets@cherryknollsvet.com,email,Pet tags for the Cherry Knolls front desk,054-cherry-knolls-veterinary-clinic.html,https://cherryknollsveterinaryclinic.com/,https://cherryknollsveterinaryclinic.com/contact/,ready
55,Companion Animal Veterinary Hospital,pet-medical,Centennial,,companionvets@hotmail.com,email,Engraved pet tags for your checkout counter,055-companion-animal-veterinary-hospital.html,https://companvet.com/,https://companvet.com/,ready
56,Tall Grass Animal Hospital,pet-medical,Aurora (southeast),Dr. Bobbi Hafer,admin@tallgrassanimalhospital.com,email,Pet ID tags for Tall Grass patients,056-tall-grass-animal-hospital.html,https://www.tallgrassanimalhospital.com/,https://www.tallgrassanimalhospital.com/,ready
57,Animal Alliance Dog Grooming,pet-medical,Littleton,,AnimalAllianceDogGrooming@gmail.com,email,Engraved tags to finish a groom,057-animal-alliance-dog-grooming.html,https://www.animalalliancedoggrooming.com/,https://www.animalalliancedoggrooming.com/,ready
58,The Poodle Shop,pet-medical,Littleton,Rachel Diller,,contact-form,Tags and keychains for The Poodle Shop,058-the-poodle-shop.html,https://thepoodleshop.net/,https://thepoodleshop.net/,ready
59,Blue Springs 'n Katydid Dog Training,pet-medical,Englewood,,Bluespringsdogtrainer@gmail.com,email,Graduation tags for your training classes,059-blue-springs-n-katydid-dog-training.html,http://bskddogtraining.com/,http://bskddogtraining.com/,ready
60,Full Pawtential Dog Training,pet-medical,South Denver metro,Megan Danitz,fullpawtential@gmail.com,email,A small gift for graduating dogs,060-full-pawtential-dog-training.html,https://fullpawtential.weebly.com/,https://fullpawtential.weebly.com/,ready
61,Cottonwood Dental Group,pet-medical,Highlands Ranch,Dr. Sarah Parsons,office@cottonwooddentalgroup.com,email,"Branded pens for Cottonwood, 10 for $20",061-cottonwood-dental-group.html,https://www.cottonwooddentalgroup.com/,https://www.cottonwooddentalgroup.com/,ready
62,Copeland Family Dental,pet-medical,Littleton,Dr. Heath Copeland,info@copelandfamilydental.com,email,Pens with Copeland on them,062-copeland-family-dental.html,https://www.copelandfamilydental.com/,https://www.copelandfamilydental.com/,ready
63,Summit Orthodontics,pet-medical,Parker,Dr. Cassy Wiggins,info@summitorthodontics.com,email,Pens for the Summit front desk,063-summit-orthodontics.html,https://www.summitorthodontics.com/,https://www.summitorthodontics.com/,ready
64,Founders Eyecare,pet-medical,Castle Rock,Dr. Joseph Raffa,fpvc@live.com,email,Nameplates and pens for Founders Eyecare,064-founders-eyecare.html,https://www.founderseyecare.com/,https://www.founderseyecare.com/,ready
65,Lone Tree Chiropractic & Natural Health Center,pet-medical,Lone Tree,Dr. John Jungers,info@lonetreechiropractic.com,email,Pens and cards for Lone Tree Chiropractic,065-lone-tree-chiropractic-natural-health-center.html,https://www.lonetreechiropractic.com/,https://www.lonetreechiropractic.com/,ready
66,Rebound Therapy and Wellness Clinic,pet-medical,Greenwood Village,Djimmer Bosman,info@reboundclinic.com,email,Nameplate and pens for Rebound,066-rebound-therapy-and-wellness-clinic.html,http://reboundclinic.com/,https://reboundclinic.com/contact-us/,ready
67,BackCountry CrossFit,fitness,Littleton,Pat Slattery,,contact form,Milestone keychains for BackCountry members,067-backcountry-crossfit.html,https://backcountrycrossfit.com/,http://backcountrycrossfit.com/about-our-gym-in-littleton-co/,ready
68,Mile High CrossFit,fitness,Centennial,Troy Donahue,,contact form,Member tags for Mile High CrossFit,068-mile-high-crossfit.html,https://crossfitmilehigh.com/,https://crossfitmilehigh.com/about-our-gym-in-centennial-co/,ready
69,Unbroken CrossFit,fitness,Centennial,,Sales@unbrokencrossfit.com,email,Marking gear at Unbroken CrossFit,069-unbroken-crossfit.html,https://www.unbrokencrossfit.com/,https://www.unbrokencrossfit.com/,ready
70,Westbound CrossFit,fitness,Littleton,,westboundcrossfit@gmail.com,email,Engraved bottles for the Westbound crew,070-westbound-crossfit.html,https://www.westboundcrossfit.com/,https://www.westboundcrossfit.com/,ready
71,CrossFit Castle Rock (Castle Rock Fitness),fitness,Castle Rock,Spencer Marx,info@castlerock.fit,email,Award plates for Battle at the Rock,071-crossfit-castle-rock-castle-rock-fitness.html,https://www.castlerock.fit,https://www.castlerock.fit/about,ready
72,Otomi Martial Arts,fitness,Parker,Kim and Ranulfo Gonzalez,info@otomimartialarts.com,email,Belt promotion tags for Otomi,072-otomi-martial-arts.html,https://www.otomimartialarts.com/,https://www.otomimartialarts.com/,ready
73,Legacy Martial Arts,fitness,Highlands Ranch,,info@mylegacyma.com,email,Milestone keychains for Legacy students,073-legacy-martial-arts.html,https://mylegacyma.com/,https://mylegacyma.com/,ready
74,Rio Jiu Jitsu,fitness,south Aurora,,Info@RioJiuJitsu.com,email,Milestone tags for Rio Jiu Jitsu,074-rio-jiu-jitsu.html,https://riojiujitsu.com/,https://riojiujitsu.com/,ready
75,Factory X Muay Thai / MMA / BJJ,fitness,Englewood,Marc Montoya,factoryxmuaythai@me.com,email,Award plates for the FX Fight Team,075-factory-x-muay-thai-mma-bjj.html,https://factoryxmuaythai.com/,https://factoryxmuaythai.com/contact-us/,ready
76,Buka Yoga,fitness,Castle Rock,,hello@bukayoga.com,email,Gifts for your August teacher training,076-buka-yoga.html,https://www.bukayoga.com/,https://www.bukayoga.com/contact,ready
77,Peace Out Yoga,fitness,Castle Rock,Meg Pacella and Amanda Shefsick,info@peaceoutyoga.com,email,Engraved bottles for Peace Out grads,077-peace-out-yoga.html,https://www.peaceoutyoga.com/,https://www.peaceoutyoga.com/,ready
78,Colorado School of Dance,fitness,Parker,,info@coloradoschoolofdance.com,email,Recital awards engraved in Parker,078-colorado-school-of-dance.html,https://www.coloradoschoolofdance.com/,https://www.coloradoschoolofdance.com/,ready
79,Functional Strength Pilates,fitness,Lone Tree,Desiree,info@functionalstrengthpilates.com,email,Engraved gifts for your Lone Tree studio,079-functional-strength-pilates.html,https://www.functionalstrengthpilates.com/,https://www.functionalstrengthpilates.com/,ready
80,b. pilates,fitness,Greenwood Village,Sara Talbert,,contact form,Engraving for the b. boutique,080-b-pilates.html,https://www.bpilatesboutique.com/,https://www.bpilatesboutique.com/,ready
81,Gene's Barbershop,salons,Littleton,,info@genesbarbershopco.com,email,Your names on your own clippers,081-gene-s-barbershop.html,https://genesbarbershopco.com/,https://genesbarbershopco.com/,ready
82,The Barber Den,salons,Littleton,Phil,thebarberdenlittleton@gmail.com,email,Clipper engraving for The Barber Den,082-the-barber-den.html,https://thebarberden.net/,https://thebarberden.net/,ready
83,Chad + Co. Hair Salon,salons,Centennial,Chad Cantu,info@chadandco.com,email,Metal business cards for Chad + Co,083-chad-co-hair-salon.html,https://www.chadandco.com/,https://www.chadandco.com/,ready
84,Main Musē Salon,salons,Centennial,Brittany Robinson,mainmusesalon@gmail.com,email,Metal cards for Main Musē,084-main-muse-salon.html,https://mainmusesalon.com/,https://mainmusesalon.com/,ready
85,Hair Rx Salon,salons,Centennial,,info@hairrxsalon.com,email,Engraved pens for the Hair Rx front desk,085-hair-rx-salon.html,https://www.hairrx.net/,https://www.hairrx.net/contact,ready
86,Skye Salon & Spa,salons,Centennial,,contact@skyesalonandspa.com,email,Metal gift tags for Skye packages,086-skye-salon-spa.html,https://skyesalonandspa.com/,https://skyesalonandspa.com/,ready
87,Phantom 8 Tattoo & Piercing,salons,Englewood,Chris & Krisha J'tot,phantom8tattoo@gmail.com,email,Metal cards for Phantom 8,087-phantom-8-tattoo-piercing.html,https://phantom8.com/,https://phantom8.com/,ready
88,Modern Ink,salons,Englewood,Adrian Ritchey,modernink303@gmail.com,email,An engraved mirror for Modern Ink,088-modern-ink.html,https://www.modernink.net/,https://www.modernink.net/contact,ready
89,Chroma Collective Tattoo & Laser Removal Co.,salons,Parker,,Chromacollectivetattoo@gmail.com,email,Metal cards for Chroma Collective,089-chroma-collective-tattoo-laser-removal-co.html,https://www.chromacollectivetattoo.com/,https://www.chromacollectivetattoo.com/pfaquc,ready
90,Sorella Med Spa and Aesthetics,salons,Lone Tree,"Dominique, Giuliana & Bianca (owners)",hello@sorellamedspa.com,email,Engraved pens for the Sorella front desk,090-sorella-med-spa-and-aesthetics.html,https://www.sorellamedspa.com/,https://www.sorellamedspa.com/about-us,ready
91,RESTOR Medical Spa,salons,Greenwood Village,,info@restormedicalspa.com,email,Metal cards for the Greenwood Village desk,091-restor-medical-spa.html,https://www.restormedicalspa.com/,https://www.restormedicalspa.com/expanding-wellness-restor-medical-spa-opens-its-newest-location-in-greenwood-village-colorado/,ready
92,I Nails Bar & Lash,salons,Highlands Ranch,,inailbar2023@gmail.com,email,Engraved pens for I Nails Bar,092-i-nails-bar-lash.html,https://inailsbarandlash.com/,https://inailsbarandlash.com/,ready
93,CR Barbers,salons,Castle Rock,Stephanie Capps,stephaniecapps@comcast.net,email,Your name on your clippers,093-cr-barbers.html,https://crbarbers.com/,https://crbarbers.com/,ready
94,Honey Hair & Co,salons,Parker,Tia Reeves,,contact_form,Shear engraving for the Honey Hair team,094-honey-hair-co.html,https://honeyhaircosalon.com/,https://honeyhaircosalon.com/,ready
95,Pedal Bike Shop,retail-venues,Littleton,Jason,jason@pedalonline.com,email,Frame tag engraving for Pedal customers,095-pedal-bike-shop.html,https://www.pedalonline.com/,https://www.pedalonline.com/,ready
96,Golf Haus,retail-venues,Centennial,Mark,info@golfhaus.co,email,League prizes engraved a few blocks away,096-golf-haus.html,https://www.golfhaus.co/,https://www.golfhaus.co/,ready
97,Tee Time Suites,retail-venues,Highlands Ranch,,Info@teetimesuites.com,email,Member gifts for the private suite,097-tee-time-suites.html,https://www.teetimesuites.com/,https://www.teetimesuites.com/,ready
98,Elevation Golf Club,retail-venues,Castle Rock,,info@elevationgolfclub.com,email,Engraved prizes for Elevation members,098-elevation-golf-club.html,https://elevationgolfclub.com/,https://elevationgolfclub.com/,ready
99,Spell Books,retail-venues,Littleton,,info@spellbooksco.com,email,Engraved gifts for the Main Street register,099-spell-books.html,https://www.spellbooksco.com/,https://www.spellbooksco.com/contact,ready
100,Books Are Awesome,retail-venues,Parker,Wendy Withers,,contact form (303-357-8240),Engraved bookmarks for your book clubs,100-books-are-awesome.html,https://booksareawesome.net/,https://booksareawesome.net/,ready
101,Sudden Fiction Books,retail-venues,Castle Rock,"Gina, Christi, and Joe",,contact form (303-856-8181),Shelf signage for Sudden Fiction,101-sudden-fiction-books.html,https://suddenfictionbooks.com/,https://ecclesiamarket.com/sudden-fiction-books/,ready
102,Gifts From Colorado,retail-venues,Littleton,,info@giftsfromcolorado.com,email,Adding engraving to your gift baskets,102-gifts-from-colorado.html,https://www.giftsfromcolorado.com/,https://www.giftsfromcolorado.com/,ready
103,Littleton School of Music,retail-venues,Littleton,Stephan Hume,Info@LittletonMusicLessons.com,email,Recital keepsakes for your students,103-littleton-school-of-music.html,https://www.littletonmusiclessons.com/,https://www.littletonmusiclessons.com/contact-us,ready
104,Colorado Music Institute,retail-venues,Centennial,,info@coloradomusicinstitute.com,email,Recital awards made in Centennial,104-colorado-music-institute.html,https://coloradomusicinstitute.com/,https://coloradomusicinstitute.com/,ready
105,Pine Lane Nursery,retail-venues,Parker,,wholesale@pinelanenursery.com,email,Plant markers and shelf tags for Pine Lane,105-pine-lane-nursery.html,https://www.pinelanenursery.com/,https://www.pinelanenursery.com/our-garden-center-parker-co/,ready
106,Tony's Meats & Market,retail-venues,Centennial,Alex Minish,,contact form (303-770-7024),Engraved boards next to the butcher counter,106-tony-s-meats-market.html,https://tonysmarket.com/,https://tonysmarket.com/location/meat-market-centennial/,ready
107,Weddings by Jay,retail-venues,"South Denver metro (serves Parker, Castle Rock, Littleton, Highlands Ranch)",Jaylynn,weddingsbyjaylynn@gmail.com,email,A favors vendor for your couples,107-weddings-by-jay.html,https://www.weddingsbyjay.com/,https://www.weddingsbyjay.com/,ready
108,Creative Littleton,retail-venues,Littleton,Amy,amy@creativelittleton.com,email,Favors and signage for your events,108-creative-littleton.html,https://creativelittleton.com/,https://visitlittleton.org/partner/creative-littleton-events/,ready
